text_to_annotate,Hate_pos,Disagree
Real peace=the possibility of prosperity for ALL,0,0
McCain still isn't buried?! Good grief.,0,0
https://www.youtube.com/watch?v=7sgHIrts8EQ  ,0,0
SEE ME LIVE ON SEXCAMS 11pm 2300hrs PST #MakeMeCum ,0,0
That is MY MOTHERFUCKING PRESIDENT!!!  https://twitter.com/realdonaldtrump/status/1021234... #MAGA #Trump #IranIsNext,0,0
Thnxsweetums 😊 ,0,0
Perhaps an Internet Bill of Rights is needed to protect right-wingers from Orwellian digital lynch mobs of the Left. ,0,0
"Ashkenazi Jews have some of the highest IQs in the world. However, you'd be wrong to assume that they are genetically Jewish. They are not. Ashkenazi Jews are actually genetically European, meaning they are white. Thus, it is disproven that Jews are the smartest people in the world. Europeans actually are.",0.25,0
"'I think we need immigration laws that focus on people who pose a real threat, and I don’t think mamas and babies are the place we should be spending our resources. Separating a mama from a baby does not make this country safer.” - Lizzy Warren, trying her damnedest to move the goalpost. The subject was #IllegalImmigrantMurderers, not #MamasAndBabies.",0.25,0
"this was one of the things I said in the beginning would make me a Trumper. if he can pull this off, we would see a lot of the true corruption perpetrated on the US population. guard my guns, free speech, and take control of the reserve. I'm on board! they will kill him though. and blame someone with TDS.",0.25,0
"Unfortunately, the German woman and her family will likely still support mass immigration https://www.express.co.uk/news/world/937049/germany-news-Burgwedel-stabbing-syrian-asylum-seeker-refugee-migrant #ShakesHead #Unbelievable",0,0
Guess I'm behind on the cutting edge of #LinuxDev ; what's the opinion on #VisualStudioCode as an ide on #Linux desktops? ,0,0
"All 3 Nets Ignore New FBI Texts, Senate Report Showing Obama Involvement in Clinton Email Probe ",0,0
"ELYRIA — A former Oberlin College instructor and an activist for indigenous people was sentenced to prison for stealing more than $77,000 in federal grants designed to help Native Americans. http://www.chroniclet.com/cops-and-courts/2018/08/...",0.2,0
"1990: Nelson Mandela is released from prison after the South African government caves in from outside pressure. He returns to a heroes welcome, both in public and in the press. Finally, in 1994, the Whites lose their power as the Nelson Mandela is elected leader of South Africa by a majority Black vote.",0,0
sir .... on the cultural issue i find this is the major problem ,0,0
"People in Brazil are reporting that when a user performs a Google search for the “Ku Klux Klan,” an image of Donald Trump appears at the top of the results page. https://www.infowars.com/rigged-google-search-for-...",0,0
"PomoNews: (VIDEO) TWITTER CEO @JACK ADMITS LEFT-WING BIAS, BUT SAYS HE DOES NOT REGULATE IDEOLOGY. BUT UNAWARES HE DOES! https://buff.ly/2FO9uw0",0,0
"Awesome movie, awesome cast. My wife's and my favorite Sunday morning movie.",0,0
This woman protects her family. That's what mothers do.,0,0
"I've seen lots of Pastor Anderson's videos about his tribulations with the US Border Patrol in southern Arizona, but I hadn't seen this 2015 movie, which covers his 2009 battery, kidnapping, and trial, for refusing to follow orders, and includes video of other stops where he was allowed to drive away. ",0,0
This is the dumbest fucking joke I have seen on this place. One look at the text and it tells me this is amateur hour. Is this supposed to be an 'intelligence organisation' when they cannot even form basic sentences? This reeks of Mossad-involvement. Their autism and ham-handedness is the stuff of legends.,0.75,0
Holy CRAP that's bad. It's seriously feeling like Disney bought Star Wars just so it wouldn't be the biggest intellectual property on the market anymore & they could have Winnie the Pooh take back over. https://www.youtube.com/watch?v=bH_Ws7sA468,0,0
"Finished reading ""Nixon's Secrets"" by @RogerJStoneJr‍  and was amazed by the correlation between John/Bobbie Kennedy's actions in 1960 Nixon/Kennedy race and DNC/Hillary in 2016. Also the actions against Nixon and currently with Trump. Only Donald Trump has no secrets",0,0
"Leaker Comey blasts ""GOP Liars and Weasels"" in confusing tweet. Sounds to me like Comey is panicking like the rest of the REAL liars and weasels in the past criminal administration. It's pretty clear to me.  ",0,0
"18K signatures and counting: in the name of justice and a free press, sign + spread the petition for Trump to pardon Julian Assange https://www.infowars.com/petition/  #Wikileaks",0,0
https://www.youtube.com/watch?v=kUzZd2H7QXQ  The Root 'The 8 Kinds of Black Donald Trump Supporters' #TheRootArticles,0.25,0
Thank you president Trump!,0,0
What did Kanye West mean yesterday at the White House when he said that Trump was “on his hero’s journey?” And who’s that woman? Read more here: goo.gl/ib8Vj8,0,0
Mobile is the best thing since sluced bread ,0,0
"Fuck off, @KenYounos Stop trolling reasonable, intelligent people to try to silence them. Truth knows no idiocy - fuck off.",0.25,0
@Azzmador‍ barely got to say anything. He's a very entertaining guy. He deserves his own debate with a worthy opponent.,0,0
Fun fact normies: Nicolas Maduro is an ethnic Jew. So was Fidel Castro. So were Mao’s and Stalin’s top advisers and financiers. So were the Bolsheviks. So were the heads of the communist party in Wiemar Germany. So is Bernie Sanders. #MondayMotivation #RemoveTheJews,0.75,0
Time for this to happen: #TrumpGetOnGab https://twitter.com/RickMcCargar/status/1034535229...,0,0
"Oh, Maggie! Can it be? Old Blighty's back, 'e is. Make Britain Great Agin'. #AngloSphere #BritFam #MBGA",0,0
"4 out of 5 blacks are knee-jerk Never Trumpers. Nothing is going to change that. The sooner Civic Nationalists realize it's the Sailer Strategy or bust, the better https://anepigone.blogspot.com/2018/08/the-one-fif...",0.25,0
https://www.etsy.com/listing/477794621/shower-curtain-prada-marfa-prada-marfa?ref=shop_home_active_21 - Make a style declaration with our Prada Marfa Shower Curtain inspired by Prada as well as Gossip,0,0
Father of two jihadis killed in Syria is jailed for 18 months https://dailym.ai/2MDuskx via http://dailym.ai/android,0.25,0
http://casino.bz: Casino.bz is a valued online casino resource,0,0
Hateful hateful people. Supremists like this need jailing but wont be because our traitorous government protect them!,0,0
Just cast my ballot here in Michigan. Praying Debbie 'StabYouNow' Stabenow is told  'YOU'RE FIRED' today.  #Michigander #Vote #MAGA,0,0
Of course he admires the members of the military who are cannon fodder for a greater israel.  It's after they come home and are of no more use that they are allowed to die for lack of medical care in this jew controlled nation.,0.25,0
The lack of #MuslimTerrorAttacks being #PartandParcel of #LivingInABigCity in Japan -  speaks to observations of Muslims' aggression as a function of their population density and/or as a % of the total population. So Japan is keeping those factors down and it has been working.,0.25,0
"It would be cool if Gab had paid advertising to support the site but only real user projects and so forth, not corporate ads",0,0
Add this to your arsenal. Make popcorn. Post it on social media. Watch liberal heads explode. Rejoice. | #RedNationRising,0.75,0
You know its better for the whiskey to be gone then the bullets in this day in age after all we need to cop somewhere with all this Bullshit that just cant go ahead and clash with one another so we can settle our differences and we can all move on for where we must.,0,0
https://www.msn.com/en-gb/news/newslondon/girl-3-n...  This could be be the first conviction in the UK for FGM ....hopefully opening the floodgates for many more ....At last  #BritFam #SpeakFreely,0,0
Bill & Hillary are still the Gold Standard for crime in Arkansas...,0,0
#Linguistic Predictive #Algorithms has been going wild for the past 4 weeks. It appears that the #SHTF in #USA & 2nd civil war is being heavily instigated by the #Globalists; in a last ditch effort before they pull the plug on their controlled #economy. Watch the end of September & beginning of October for some bigger fires. https://tinyurl.com/ybqvblat,0,0
"Where and who is “Amalek” (the people the Jews are commanded to wipe out) today? This Rabbi tells us, it’s Germany, or more specifically, Germanic Europeans pose a threat. And, this has indeed shown to be the case in history. https://zionistreport.com/2018/01/video-rabbi-germans-biggest-threat/",0,0
Donald Braveheart https://video.twimg.com/ext_tw_video/8856516377416...,0,0
"Watch ""Titans & Giants In Films!"" ",0,0
Trump admits that he made the 'off the record' comments regarding the Canadian negotiations...And he doesn't care because he knows we have the stronger negotiating position.This changes nothing and sets the clear tone for what Canada has to do if they want to make a deal.,0.2,0
@alternative_right   Are you guys gonna gas me because of my Scottish roots?,0.4,1
How to argue with a #Left wing ideologue.  1) that which can be asserted without evidence can be rejected without evidence.  2) question opinions passed off as facts. 3) diversity of thought is the only diversity the Left won’t accept. Highlight ‘group think’ 4) Laugh. The Left can’t stand ridicule.  5) never ‘check your privilege’ 6) facts #TRUMP feelings.,0.25,0
"I will not be doing a live show tonight due to unforeseen (yet somehow predictable) circumstances. See you next week. :D For now, please enjoy this skit my friends and I put together about the scandal that will bring down the presidency! (please subscribe while you're there!) https://youtu.be/-4riDUOcU3U",0,0
Except sadly the current brexiters aren't getting what they wanted,0,0
lookup a cell phone number name https://instaud.io/2EsX,0,0
Neil Armstrong Movie Doesn't Feature American Flag  Well I guess Gov Cuomo was right. America was never great. A Canadian landed on the moon and planted the Hammer and Sickle flag. I stand corrected 🙄 http://bit.ly/2PoVTf9,0.25,0
"I find it very suspicious that a person would actually label their package 'anthrax' before mailing it to this idiot #MaxineWaters. It would be like writing 'bomb' on something before mailing it. Very. Suspicious.  Anything to stay in the news, huh Maxine? Make yourself a victim, try to get that sympathy vote.  #Fake https://abcnews.go.com/US/suspicious-package-label......",0,0
"What was the *real* reason ""Roseanne"" was cancelled?  ",0,0
"""Will only jump off the #TrumpTrain if I find #Trump had SEX with Hillary!""",0,0
"Yahshua Christ isn't a Jew.  The Jews didn't write the Bible.  Israelites wrote the Bible.  Jews aren't Israelites.  Jews are Edomites, Berbers, Arabs & Khazar Turks.",0.25,0
Should her black beauty be worshiped in her country of origin it makes sense doesn’t it like the native Indian should be on America’s Liberty coin?,0.25,0
"⚠️ ACHTUNG ⚠️ 💣 I smell a big-fat counter-intelligence disinformation bomb! I got into an argument with @Fulcrum_News on Twitter, (read if you like) during which he: asked for money through PayPal for an app because of censorship denounced Gab as anti-semite while complaining Twitter is anti-Trump then said he wasn't begging: 'I'm rich, I don't need the money' blocks me from following to...",0,0
"""burritos and tacos are not staples of Spanish cuisine, right?"" No, shit mixed with cockroaches is.",0.75,0
Cant believe it took so long,0,0
"Just two days ago, YouTube channels re: aliens have shown 3 or more HUGE objects between the Sun and US - as seen on the sun satellites used for solar weather predictions. Check those videos, I'll post if I recover them.",0,0
Retirement calculator. Have a quick look at your overall picture: ,0,0
"We pay TAX over #TAX over TAX we are not only being robbed, we are being robbed multiple times over and over again...  #communism #socialism #government  #finance  #theft  #unBEARables",0.2,0
"I’m sure in your zeal to have government monitor, approve, regulate, or otherwise manage your every waking minute, you might have forgotten that journalists, like all Americans, have the constitutional right to arm themselves. @NRA #2A https://kek.gg/u/sHK5",0,0
What Gab needs is more liberals for some more conversation. #Gab,0,0
Welcome  & God bless you,0,0
Meadows: Lawmakers ‘seriously’ considering charging DOJ officials with contempt of Congress ,0,0
https://kek.gg/i/3BwfNH.jpg Clean your fucking room and stay off those tripping drugs! #moron,0.25,0
The ultimate in 'Progressive Bullshit'... literally #Humor #Libtardation,0,0
I might have to start doing that. Those instructions are crazy long,0,0
1 of 2 I know this is out of the news cycle but it may lead to anything from (Real) free trade to nuclear war.   Follow this: #china embargoed US #soybeans as one of the only real weapons they had in the trade war.  At the time it was mentioned that there weren’t a lot of ways to replace this. The only other mega exporter is #argentina.,0,0
Is it not a glorious sight to see the left freak out over the supreme justice retirement announcement? I ask you Morton Kondracke!,0.428571429,1
"Finally!  John Goodman defended Roseanne, 'She's not a racist.' Guessing he's trying to shmooze a new audience, otherwise, where the hell was he when she was dumped and the cast of progressive rat bastards turned on her?! Trump-Nation goal:  Kill ratings.  Kill new show.  Finger cast! #Gab #GabFam #SpeakFreely #Cast #Americans}",0,0
"I actually doubt this, and here's why: TDS needs Eric Striker for shekels. The only show worth listening to behind the paywall is Strike and Mike, and everyone knows it.   Jazz and Jesse fucking blows, and an extra episode of TDS isn't worth it for a lot of people. I'm sure they would love to get rid of him though, but they can't.",0,0
"Mike Cernovich is RT’ing Tolerant Fellow & Trunp is Tweeting at Tucker about having Pompeo look into the confiscation of white farmers’ land in South Africa. Wew, lads. Powerful 24 hours.",0.25,0
https://forbiddenknowledgetv.net/will-i-ever-base-jump-again/  ,0,0
Why are names being named... But No One's going to prison ??  ,0.25,0
I Hope For An Apothecary,0.25,0
Technically possible that South Africa is a systemic risk for West and the East.  1. Export health risk (40% of deaths attributed to AIDS) 2. Security risk (Desire to attack whites and American soldiers in Venezuela specifically) 3. Highly transacted currency and logistic impediment. @alternative_right @ANV @seamrog @arquatrix @KMGVictoria,0.5,1
https://apply.obama.org/fellows2019 apply to be an Obama fellow today lol,0,0
Why Is The Mullahs Regime More Afraid Of The PMOI/MEK In Albania Than The MEK in Iraq?!  https://herald.report/why-is-the-mullahs-regime-afraid-of-the-pmoi-mek-in-albania-more-than-the-mek-in-iraq,0,0
"This guy is running a Twitter poll on #Brexit. Come on all, tick the 'leave' box so he gets the same result he did on Facebook! #BritFam https://twitter.com/jackwdart/status/1026098263588...",0,0
I've noticed while reading the article that they refer to Trump as 'Mr. Trump' and never as 'President Trump '. I wonder why that is? Bias? 😉,0,0
"Looking at the news today, it's clear that we are in a soft coup leading to outright anarchy by far left progressives/democrats/socialist. In my opinion we have already seen countless examples of outright sedition by most left wing politicians that should be facing felony charges. And they aren't. Trump must kill/deport/imprison them now.",0.5,1
"CCW News - Dumber Than Dirt: Democrat Senator Mazie Hirono Still ""Confused"" After ICE Official Explains How Immigration Law Works http://counterculturewarrior.altervista.org",0,0
"https://www.westernjournal.com/ct/watch-brutal-nikki-haley-tells-america-hating-nations-gravy-train-ended/?utm_source=Email&utm_medium=CTBreaking&utm_campaign=breaking&utm_content=conservative-tribune Nikki Haley; ""The gravy train has ended"" #EndTheUN #AmericaFirst #VoteRepublican #Refuse2BSilenced #WWG1WGA ",0,0
Join us for the Rosary with Joe Nicosia LIVE https://youtu.be/R-0NyLRST-w,0,0
We're running out of WHITES (in South Africa) The nr of people leaving is an understatement because another article in Business day had different numbers. However no mention was made of farm murders etc.  https://m.news24.com/SouthAfrica/News/were-running...,0.25,0
Danie returns and explains why South Africans cannot leave https://youtu.be/fmVPPj-3wzo  #GabFam #Gab #BritFam #UK,0.25,0
"@realdonaldtrump Last time a POTUS came to the UK he humiliated himself by failing to understand the will of the people. Speak your mind, that’s what free-thinking people all over the world love about you.There are lots of believers in #MAGA in the UK. Ronald Reagan said “Tear down this Wall” and changed Europe for ever. If you can say something to give us the Brexit we need we can save o...",0,0
Some granddaughter of a Rockerfeller Republican is trying to get people shot and banned on twitter. Weird shit. #gabfam #maga https://twitter.com/JackGOPFam/status/103342287778... @a @Amy @Microchip,0,0
This Priest... absolutely TOXIC to the Faith.  #CatholicGab https://www.churchmilitant.com/video/episode/repo-...,0,0
Yes they say it was a success. All that we can say is Pray for all that seek there god given freedoms,0,0
Tomorrow’s the big day fam! Are you excited??! ,0,0
New Hollywood Apollo 11 Movie - doesn't show American flag being planted on the moon - cause that might be 'offensive'. Another Hollywood movie that I'll pass on. https://twitchy.com/dougp-3137/2018/08/31/ouch-chu...,0,0
I have a... complex opinion of Trump lol but this is why he’s done more against SJWs than a hundred establishment conservative pundits and think tanks https://twitter.com/realdonaldtrump/status/1030777...,0,0
WATCH: Crowder Asks Trump Critics To Explain Why They Think Trump's A 'Fascist' https://www.dailywire.com/news/35230/watch-crowder...?,0.25,0
Did Jesus come to put an end to the Law? That's not what He said. Anyone who tells you otherwise has been hoodwinked or is pulling a fast one on you themselves. https://youtu.be/M3U62irwUeI,0,0
The SES Senior Executive Service is stopping many things we are trying to accomplish for America! ,0,0
Hahahahaha. Wokka Wokka. ,0,0
Out today. https://circumcisionmovie.com/,0,0
The origins of the crisis in the Catholic Church. Hint: We were the first ones targeted by Leftists more than a century ago. https://www.youtube.com/watch?v=RUvGkryNkJc,0.25,0
"Trump's gentry conservative GOP critics seem to be forever concerned that Trump will cause things to happen that have *already happened* while they had their heads in the sand, to wit, the death of civility, the rise of political violence, & the degradation of 'our institutions.'",0,0
🚨🚨 Non-citizens legally register to vote in San Francisco school elections. 🚨🚨  https://tiny.iavian.net/nvto,0,0
"Take it up with God if you have a problem with his restoration blessings for the Jews after hundreds of years of disciplinarian massacres, persecution, and helpless despair. ",0.25,0
first time i have ever agreed with dumbo obama was the reason ...we had enough deep state cia corruption ,0.25,0
"Trying to tweak my setting to get significantly fewer politics and more philosophy and memes... I'm kinda tired of everything... the stupidity of statism, feminism, socialism, Trump Stuff, Open or closed borders... yeah I have thoughts on all of these things but I'd now like some fun and interesting stuff on my feed that isn't the same info over & over.",0.25,0
#FakeNews #Art,0,0
more anti-Conservative boolsheet...without explanation from #FakeBook.glad i never had an account... https://youtu.be/c3NJdWL-Azk,0,0
"Randolph Churchill's answer to the 'race' question on an Apartheid era South African immigration form: 'Race: human. But if your object is to  determine whether I have coloured blood in my veins, I am most happy to  be able to inform you that I do, indeed, so have. This is derived from  one of my most revered ancestors, the Indian Princess Pocahontas, of whom you may not have heard, but who w...",0,0
.@theheraldsun National Political Editor @J_C_Campbell: There are other seats in this country which @LiberalAus holds that are not dissimilar to Wentworth.  RELATED: https://kek.gg/u/MWPq #newsday https://kek.gg/u/tHvq,0,0
They can't stop the signal.,0,0
"From what I can find out, Wicca was created in 1930 or so, and Asatru in 1970.  No one really knows how the pagan of old worshiped. Now Satanism is a whole 'nother thing!  Evil!  Evil then and evil now.",0,0
"I've already contacted them in the past about canceling after my year is up.  They told me they would immediately remove my pro status, even though I've paid for it.  So....  in this case, it is wise to get what I have paid for.  (since the company will screw me out of it if I don't use it.)  Great biz model... for them.",0,0
FUCK LONDON ! Disgusting ! I WILL REMMEBER THIS DISRESPECT .... Everytime there is an Islamic terror attack .....,0.5,1
I will boycott them too.,0,0
"""Delingpole's the purpose of State propaganda...""",0,0
You sure that’s not a tranny ?,0.25,0
06/must-read-muellers-bumbling-and-hysterical-special-counsel-team-is-getting-pummeled-in-court-media-is-ignoring-all-of-this/ 🤡,0,0
"Anytime you hear some bs from a Dem, offer them something to think about.  https://www.hoover.org/research/hillarys-hamartia",0,0
Dude doesn’t even have time to change that Faggot Jaggot of his. Leather Liberterian Lesbian.,0.75,0
"Finally, in 2018, the South African government chose to seize White farmers' lands without compensation. In 2016, Julius Malema joked that they 'are not calling for the killing of Whites just yet...'",0.25,0
"Oh wait, I have avast.  Oh well.",0,0
"Talk about ""Drinking The Koolaid"" ",0,0
"I unironically believe an ugly, ungrateful barren cunt like Sarah Jeong should be harassed and bullied until she cracks under pressure. She has preemptively blocked half of the Internet to protect her ego already. Keep it coming.",0.75,0
Aware. Thanks for the share. ,0,0
"Jack Dorsey just turned off the QFD ban on Twitter, ahead of his Congressional hearing next week Seems like he feels vulnerable Now would be a good time for a campaign contacting people in Congress...",0,0
We should annex 100 miles of land from their border. Like Russia took Croatia.,0.25,0
Telford MP Lucy Allan has the audacity to condem Katy Hoping for speaking out against grooming gangs - you couldn't make it up! ,0.5,1
"The noose around Hitlery neck tightens every single day, as the corrupt rats start leaving the fast sinking ship and squeal long and hard, whilst trying to save themselves from the same noose.As they would say in Mehico 'La traidora Hillary debería colgarse'Hitlery would finally succeed at something... as an inspirational swinger#Politics #Humor #Treason #ClintonCorruption",0.5,1
Air Biscuit TV ,0,0
"DACA must end. Chain migration must end. Hold firm, Mr. President!",0,0
Democrats literally attack Republicans Democrats are represented by dummies like Ocasio-Cortez & Nutty Nancy Democrats might chase you with a mob Don't be like evil Democrats,0.75,0
Right on! Erasing America’s culture and heritage is the Globalist plan.,0.5,1
I wouldn't be too surprised if Luke started interrogating random white kids in a chemotherapy ward.,0.5,1
"US ends all funding to UN agency for “Palestinian” “refugees”SEP 1, 2018 This is long overdue. Only among the “Palestinians” is “refugee” status passed down to children, grandchildren, and great-grandchildren. Millions of people were displaced after World War II, but they moved elsewhere and got on with their lives. Not the “Palestinians,” because they were and are a weapon of the jihad. http...",0.6,1
"https://m.youtube.com/watch?v=rjpXAJ3hEBo Captain KIRK Mocks Alexandria Ocasio Cortez' Embarassing Interview on PBS' the 'Firing Line.' Margaret Hoover's calling out of Ocasio-Cortez’s Factually Challenged Position On Israel Is Embarrassing, and makes one wonder 'how can someone know so little about a topic and yet be so passionate about it?'",0,0
Oprah is quietly put it about that she has no interest in the White House. She knows what's in her past makes even Obama look like a chaste missionary.,0.5,1
You can thank the ACLU for closing down the mental health hospitals. Their claim: against the patients Constitution rights. Happened during the Reagan years.,0,0
Could it be that many of them are complicit in covering up that corruption? >> ,0.25,0
"The Establishment Media believes that Freedom of the Press reigns supreme over Freedom of Speech. Let me tell EVERYONE this: If I had to get rid of Freedom of Speech or Freedom of the Press I'd toss Freedom of the Press in the garbage. The cornerstone of our democracy IS freedom of speech, Freedom of the Press plays second fiddle to speech, it always had and will.",0,0
All this legal liability ,0,0
"Epic vandalism strikes the internet.  And of course, what makes it epic is the entirely predictable coverage from the entirely predictable. (A troll noticed by maybe thousands becomes a troll noticed by maybe millions):  https://www.theverge.com/2018/8/30/17799512/mapbox...",0,0
Groom Stopped Wedding Photographs To Save Teen From Drowning In Sea http://www.ladbible.com/community/inspirational-groom-stopped-wedding-photographs-to-save-a-teen-from-drowning-20180808,0,0
"if they were only work camps that got twisted later on into death camps, does that mean the jew sees being made to finally work and not be a leech, as the *same* as death?",0.5,1
I see you 👋 Ditch Google.  Download Brave browser & use DuckDuckGo search engine.  They don't suck your data like Google; it's faster & has built in Adblocker. Works wonderfully with Gab.  Just enter !gab on DDG & it brings you straight to Gab \o/  #GabTips,0.2,0
This man is a national treasure get your filthy HEEB hands off of him,0.25,0
"The wearing of the Hijab is not even a necessity in Islam, just as Majid Nawaz. The hijab is basically a giant virtue signal and that's it. What's she complaining about?",0,0
"FUCKEN, HA HA I just spit on my monitor laughing, reading this post.",0,0
"As long as Papa John's is named Papa John's it will be associated with their founder and former CEO who, despite turning the company into a multi-billion-dollar tour-de-force, got chased out because of his language. If Papa John's wishes to go truly Social Justice, they need to rename it to Mama Juanita's. https://www.youtube.com/watch?v=pIbAXzEHjBI",0,0
"https://www.lawfareblog.com/no-mariia-butina-wasnt...  In Federal criminal law, there's a difference between being a “foreign agent” and being an “agent of a foreign principal”.  Among other things, one can get you five years, and the other ten.",0,0
I'm in Oklahoma so I can too. I wear my redneck badge proud.,0,0
These two will fix the GOP in Kalifornistan? http://angry.net/blog2/?p=25838,0,0
Obama blew off Dennis Rodman on peaceful solution to NoKo issue.  https://youtu.be/O6oRPxiNIDs,0,0
In fact - now that I recall - I remember that some female friends a long time ago had a sort of contest to see who could get the phone cord stretched out the furthest without breaking it.,0,0
Lol every platform gets progressively more conservative unless they specifically block out conservative thought. There's a lesson there...,0.25,0
Am I the only one who feels that games made by SJWs tend to have very little actual gameplay like with a visual novel? I'm not ragging on visual novels or anything (love nekopara) but it's just something I noticed.,0,0
"cont... In the views of those like Twitter and other powerful social media platforms, their control and dictation of topics (in many cases outright control over the very news you and I would watch on a day to day basis) is not just about control over revenue streams.",0,0
"President Trump, will suffer a devastating loss in 2020, if he doesn't turn this around now.  Independents, like me will not vote for him again.",0,0
Nah. Just retarded Muslims and loony Nazis think like you. #NaziFaggot,1,0
"#Muzhood Agent Obama with Appointed Muzhood Agents, ",0.25,0
74% of Americans believe that deep-state exisits https://consortiumnews.com/2018/03/21/american-public-troubled-by-deep-state/,0,0
KWS interdicts two rangers who were on duty when 12-year-old black rhino was killed at Lake Nakuru National Park; hunt for poachers ongoing.,0,0
KEEP YOUR HATRED OFF THIS SITE FASCHIST TROLL KRUTON!,0,0
"In honor of John McCain, the 'Maverick', the treasury will burn $2Trillion dollars on the steps of Congress.",0,0
The evidence presented in this thread: http://bit.ly/2KBvnkB confirms the authenticity/legitimacy of Q ,0,0
">Over 5,000 recorded cases of FGM and no convictions  dont waste your time worrying about what they do to each other",0,0
we do teach others by what we tolerate ... let that sink in,0,0
#sonoluminessence  ,0,0
"Riiiiiiight..... Either Facebook, Twitter and Google have a tendency to hire the most idiotic employees ever, or they're blatantly censoring conservatives. Do they really look good either way? If you work at any of these companies, do you really want to let people know you work there? People will either think you're a Nazi, or a moron.  ;)",0.25,0
"Shaffer v. Carter, 252 US 37 (1920).  The first income tax imposed in America was implemented by the State of New York into its civil laws in 1778.  But only those commercial, corporate entities (persons) deriving corporate gain/profit from commerce were liable  ",0,0
"So #Tesla just met its production goal without even a factory in which to work.    Wow, that's in-tents.",0,0
Only in #islam do they brainwash children to want to become #terrorists.,0.5,1
"Pam is ""Q"". Here is the proof.  Pamphlet anon is BUSTED! In this short 14 second video you will see thumper ask Pam if he renumbered and deleted the Q posts....Pam's answer will shock you.  https://gab.ai/tv/watch/15091",0,0
"If you agree with this video, please contact me... (843) 957-8180.  Thanks in advance.  A 6 minute video on  A MATTER OF SURVIVAL! ",0,0
"It honestly sickens me that the AZ jihadists got no charges.    A child died in their care, other kids were starving. They were plotting to kill people.    No. Charges.     Our nation is doomed if things don't change.",0.25,0
Something to ponder: The United States is a free country. Several European countries try to claim they are freer than the US. They might just be. People love and flock to get free things and will even get mean about claiming something free. Lots of free countries ready to be claimed in the EU.,0,0
Of course they do. That's where informed leftists get their arguing points for their social media posts.,0.285714286,0
President Trump is right. The media is the enemy of the people. Vice and the notoriously racist New York Times columnist Sarah Jeong teamed up to journalistically destroy a Chinese girl on YouTube. (Naomi Wu).,0.25,0
Clinton's ChinaGateDon't you just love it when the paper trail totally disproves their false narrative.The OIG Report (May 2016 pages 36-37) clearly exposes and documents that they were all very fully aware of the vulnerabilities... but they all did it anyway.#News #Politics #Treason #ClintonCorruption,0,0
"Thought I’d share the news that my science fiction alternate history conspiracy thriller, A Rambling Wreck,will be on sale for $0.99 for the next couple of weeks. https://amzn.to/2M5r6SS #scifi #GabBooks #GabBookClub #CLFA",0,0
"Little, cute, dark gray Toe Beans!! I love toe beans.",0,0
"I am #Fox, hear me roar! ^_^",0,0
Does anyone really expect jews to tell the truth?,0.75,0
"Hey bitch their are mo more genders according to liberals, so dont use the word woman. Anyway ask for your money back you still look Jewish",0.25,0
This fucking shitshow must come to an end.,0.5,1
"one thing that some don't know is in spain they think people from mexico and south america and cuba are lower forms of life ,reason there not spainish and   not white this is true i have heard this before,you find racism every part of the world .",0.25,0
Explore With Us - Twitter retweet - 1400 followers - Hybrid Collusion - Urban Explorers.,0,0
#NotSendingTheirBest,0,0
John No Name McCain is dead. Good riddance and one less swamp creature to flush out. #GoodRiddanceToSwampCreature,0.25,0
"Q predicted in April  FED RES BNK would be a #1 target of his multilateral multi front w ar on the global D S & accomplices  Q  IS proven right again  I also stated Q confirms UK worked with O to sabotage 2016 election   Q Anon EU Conceded 0 Tariffs, UK D S & Steele, RR, JFK Jr., FRB Reformed = Dominos Fall, R Is C down' ",0,0
I will be happy when this one is put to rest.,0,0
We wuz PIElots 'n' sheeeit https://www.youtube.com/watch?v=SVqQKF7xgTQ&t=1s,0,0
BUZZ ALDRIN ADMITS TO AN 8-YEAR-OLD GIRL THAT NASA NEVER WENT TO THE MOON https://youtu.be/jRlqo7ZofDo,0,0
Democrats will continue to get his vote,0,0
"Quit whining Texas, we here in Arizona have a long border with California guarded only with a bit of sand and few prickly plants. Since we can't have a wall we are hoping for a big earthquake and California to suddenly become Alaska's problem.  “Far too many immigrants from California come here, take advantage of our pro-business, pro-liberty laws, and refuse to adjust to our way of life,”...",0.5,1
That Time Telco Lobbyists Sent Me All Their Talking Points About Trying To Shift The Blame To Internet Companies https://www.techdirt.com/articles/20180829/1803074...,0.5,1
"RT realDonaldTrump      The only thing that I have done wrong is to win an election that was expected to be won by Crooked Hillary Clinton and the Democrats. The problem is, they forgot to campaign in numerous states!   https://twitter.com/realDonaldTrump/status/1032431...",0,0
Love him or loathe him ... ,0,0
"LIVE NOW: GEEK GAB!  Slay the Spire, A Wrinkle in Time, and Hurricane Heist!  #GeekGab  https://www.youtube.com/watch?v=HbW1fbTXcHg",0,0
Try over 200 MILLION. Your figures are waay off.,0,0
This can ONLY open the door to better Voter ID laws ,0,0
"Tomorrow is the First Saturday of September Our Lady warned us that priests and bishops would commit terrible crimes in years to come unless the faithful prayed more. At Fatima she asked us to keep at least five “First Saturdays”: attend Mass, say the rosary, go to confession, and meditate on the mysteries for fifteen minutes.",0.25,0
"I find peace in knowing that #JohnMcCain has been officially judged by God and that His final judgement is just, whatever it may be. I do pray for his family though; no matter who you are, losing a beloved is one of the worst experiences that we must sadly go through at some point in our lives.",0,0
